company,role,slug,solution_name,agent_summary,modules,first_real_action,source_url
ABC,AI Adoption Specialist,abc-ai-adoption-specialist,ABC AI Adoption System,A workforce-facing system that helps editorial and business teams turn real work into safe AI-assisted practices while keeping policy and human judgement visible.,DISCOVERY|WORKFLOW|COACH|HELP|TRAIN|GOV|LIBRARY|ADOPTION|ROI|CHANGE,Analyse a real editorial/business task and return a safe repeatable AI-assisted workflow.,https://careers.abc.net.au/jobs/ai-adoption-specialist-brisbane-qld-australia-melbourne-vic-longreach-sydney-nsw-adelaide-sa-port-pirie-port-lincoln-renmark-mount-gambier-victor-harbor-whyalla-canberra-act-broken-hill-bega-
The Arnott's Group,AI Enablement and Adoption Lead,the-arnott-s-group-ai-enablement-and-adoption-lead,Arnott's AI Work Simplification System,"A practical business-improvement engine for operations, finance, people and commercial teams: find friction, prioritise it, build a safer AI workflow and measure the reduction in manual work.",DISCOVERY|PRIORITY|WORKFLOW|AGENT|COACH|TRAIN|GOV|CHAMPIONS|ADOPTION|ROI|CHANGE,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://careers.arnotts.com/job/North-Strathfield-AI-Enablement-and-Adoption-Lead-NSW-2137/1365156066/
Findex,AI & Digital Tools Adoption Lead,findex-ai-digital-tools-adoption-lead,Findex Client-Team AI Adoption System,"A professional-services system organised around Audit, Tax, Advisory and Wealth work: discover execution-heavy tasks, create approved reusable workflows and show where client-facing value is moving.",DISCOVERY|PRIORITY|WORKFLOW|AGENT|COACH|HELP|GOV|LIBRARY|CHAMPIONS|ADOPTION|ROI|WORKFORCE|EXEC,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://builtin.com/job/ai-digital-tools-adoption-lead/10362562
SSI,AI Enablement and Adoption Lead,ssi-ai-enablement-and-adoption-lead,SSI Responsible AI Capability System,"A people-first adoption system that makes safe AI guidance usable for frontline and corporate roles, especially where sensitive client information and responsible use matter.",COACH|HELP|TRAIN|GOV|LIBRARY|CHAMPIONS|ADOPTION|ROI|CHANGE,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/enablement-jobs/in-All-Sydney-NSW
Georgiou Group,AI Enablement Lead,georgiou-group-ai-enablement-lead,Georgiou AI Delivery & Enablement System,"A project-focused system that turns construction and corporate process opportunities into governed AI workflows with owners, approvals, rollout tracking and measurable impact.",DISCOVERY|PRIORITY|WORKFLOW|AGENT|GOV|TRAIN|IMPLEMENT|ADOPTION|ROI|WORKFORCE|CHANGE,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/enablement-jobs/in-All-Sydney-NSW
Novigi,AI Adoption Coach,novigi-ai-adoption-coach,Novigi Embedded AI Coaching System,"A coach that starts with the employee's actual task, redesigns the workflow with them, records the winning pattern and follows whether the behaviour stuck.",DISCOVERY|WORKFLOW|COACH|HELP|TRAIN|LIBRARY|CHAMPIONS|ADOPTION|ROI,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/ai-trainer-jobs/in-All-Australia
Novigi,AI Adoption Programme Co-ordinator,novigi-ai-adoption-programme-co-ordinator,Novigi AI Adoption Programme Control Room,"A live operating board for adoption: teams, champions, use cases, blockers, sessions, actions, workflow rollouts and value checkpoints.",PRIORITY|CHAMPIONS|IMPLEMENT|ADOPTION|ROI|CHANGE|EXEC,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.seek.com/AI-Adoption-jobs/in-All-Sydney-NSW
Commonwealth Bank,Chapter Lead - AI Enablement & Execution,commonwealth-bank-chapter-lead-ai-enablement-execution,CommBank Change & Delivery AI Enablement System,"A system specifically for Change & Delivery that turns planning, reporting, communications, insights and stakeholder work into governed AI-enabled practices and capability paths.",DISCOVERY|PRIORITY|WORKFLOW|COACH|TRAIN|GOV|LIBRARY|CHAMPIONS|ADOPTION|ROI|CHANGE|EXEC,"Take a business/change workflow and return opportunity, controls, workflow design and measurable outcomes.",https://cba.wd3.myworkdayjobs.com/en-US/CommBank_Careers/job/Chapter-Lead---AI-Enablement---Execution_REQ261712
Insignia Financial,Head of AI Adoption & Transformation,insignia-financial-head-of-ai-adoption-transformation,Insignia Human + AI Workforce Operating System,"A future-work system: map human roles, identify AI-capable work, design new operating models and maintain a registry of digital workers with human supervisors and measurable outcomes.",DISCOVERY|PRIORITY|WORKFLOW|AGENT|COACH|GOV|ADOPTION|ROI|WORKFORCE|CHANGE|EXEC|RADAR,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://careers.insigniafinancial.com.au/job/SYDNEY-Head-of-AI-Adoption-%26-Transformation-NSW-2000/1365289566/
Bellroy,AI Enablement Lead,bellroy-ai-enablement-lead,Bellroy AI Effectiveness System,"A cross-functional AI workbench that can sit with any team, diagnose the task, decide whether AI is even the right tool, build reusable workflows and show licence cost versus real value.",DISCOVERY|WORKFLOW|AGENT|COACH|HELP|TRAIN|GOV|LIBRARY|ROI|LICENSE|RADAR,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://job-boards.greenhouse.io/bellroy/jobs/8104479
CBRE Asia Pacific,AI Adoption Lead,cbre-asia-pacific-ai-adoption-lead,CBRE Pacific AI Adoption Field System,"A field-facing adoption layer for property and advisory teams: capture real use cases, coach teams, publish working patterns, collect friction and close the loop to the AI roadmap.",DISCOVERY|WORKFLOW|COACH|HELP|TRAIN|LIBRARY|ADOPTION|ROI|CHANGE,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://au.linkedin.com/jobs/view/ai-adoption-lead-at-cbre-asia-pacific-4452980768
Deloitte Australia,AI Value & Adoption Lead - Director,deloitte-australia-ai-value-adoption-lead-director,Deloitte AI Value Realisation System,"A portfolio-level control system that links every AI initiative to a value hypothesis, accountable owner, adoption evidence, realised benefit, risk and next executive decision.",DISCOVERY|PRIORITY|IMPLEMENT|ADOPTION|ROI|EXEC|VENDOR|RADAR,"Take a real business task and return the AI opportunity, workflow, controls, implementation steps and value measures.",https://jobs.deloitte.com.au/job/Melbourne-AI-Value-%26-Adoption-Lead-Director-VIC/1366035966/
David Jones,AI Capability & Enablement Lead,david-jones-ai-capability-enablement-lead,David Jones Workforce AI Capability System,"A role-based capability system with different AI pathways for stores, support office, merchandising, people teams and executives, connected to real work and measured adoption.",DISCOVERY|COACH|TRAIN|LIBRARY|CHAMPIONS|ADOPTION|ROI|CHANGE,Take a role/task from store or support office and return a practical learning/workflow path.,https://au.indeed.com/viewjob?jk=148ec76e4d12e141
