company,role,sector,location,status,verified_on,source_type,source_url,need,solution_name,custom_angle,page_slug,priority,public_page
ABC,AI Adoption Specialist,Media / Public Broadcaster,Australia / hybrid,Live,2026-08-25,Direct employer,https://careers.abc.net.au/jobs/ai-adoption-specialist-brisbane-qld-australia-melbourne-vic-longreach-sydney-nsw-adelaide-sa-port-pirie-port-lincoln-renmark-mount-gambier-victor-harbor-whyalla-canberra-act-broken-hill-bega-,"Help staff safely apply enterprise AI to real editorial and business workflows through coaching, training, practical support and repeatable practices.",ABC AI Adoption System,A workforce-facing system that helps editorial and business teams turn real work into safe AI-assisted practices while keeping policy and human judgement visible.,abc-ai-adoption-specialist,A,Yes
The Arnott's Group,AI Enablement and Adoption Lead,FMCG / Consumer,North Strathfield NSW / hybrid,Live,2026-08-25,Direct employer,https://careers.arnotts.com/job/North-Strathfield-AI-Enablement-and-Adoption-Lead-NSW-2137/1365156066/,"Translate business problems into practical AI and automation, reduce admin, prioritise opportunities, build capability and communities, support governance and measure value.",Arnott's AI Work Simplification System,"A practical business-improvement engine for operations, finance, people and commercial teams: find friction, prioritise it, build a safer AI workflow and measure the reduction in manual work.",the-arnott-s-group-ai-enablement-and-adoption-lead,A,Yes
Findex,AI & Digital Tools Adoption Lead,Accounting / Advisory / Wealth,Sydney / Melbourne,Live,2026-08-25,Public job listing,https://builtin.com/job/ai-digital-tools-adoption-lead/10362562,"Own AI adoption across client-facing teams, act as tool SME, build use cases and agents/workflows, run user community, align with governance and report impact to executives.",Findex Client-Team AI Adoption System,"A professional-services system organised around Audit, Tax, Advisory and Wealth work: discover execution-heavy tasks, create approved reusable workflows and show where client-facing value is moving.",findex-ai-digital-tools-adoption-lead,A,Yes
SSI,AI Enablement and Adoption Lead,Not-for-profit / Social Services,Parramatta NSW / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/enablement-jobs/in-All-Sydney-NSW,"Build responsible AI confidence, learning pathways, resources and capability frameworks across staff and leaders.",SSI Responsible AI Capability System,"A people-first adoption system that makes safe AI guidance usable for frontline and corporate roles, especially where sensitive client information and responsible use matter.",ssi-ai-enablement-and-adoption-lead,A,Yes
Georgiou Group,AI Enablement Lead,Construction / Infrastructure,North Sydney NSW,Live,2026-08-25,SEEK,https://au.seek.com/enablement-jobs/in-All-Sydney-NSW,"Drive safe practical AI adoption, innovation and business transformation across a national infrastructure business.",Georgiou AI Delivery & Enablement System,"A project-focused system that turns construction and corporate process opportunities into governed AI workflows with owners, approvals, rollout tracking and measurable impact.",georgiou-group-ai-enablement-lead,A,Yes
Novigi,AI Adoption Coach,Financial Services Technology,Multi-city Australia / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/ai-trainer-jobs/in-All-Australia,Move beyond licence rollout and generic training by coaching people on real work until AI changes the way the work is actually done.,Novigi Embedded AI Coaching System,"A coach that starts with the employee's actual task, redesigns the workflow with them, records the winning pattern and follows whether the behaviour stuck.",novigi-ai-adoption-coach,A,Yes
Novigi,AI Adoption Programme Co-ordinator,Financial Services Technology,Multi-city Australia / hybrid,Live,2026-08-25,SEEK,https://au.seek.com/AI-Adoption-jobs/in-All-Sydney-NSW,"Turn AI adoption strategy into real team activity through programme rhythm, coordination and an AI Champions network.",Novigi AI Adoption Programme Control Room,"A live operating board for adoption: teams, champions, use cases, blockers, sessions, actions, workflow rollouts and value checkpoints.",novigi-ai-adoption-programme-co-ordinator,A,Yes
Commonwealth Bank,Chapter Lead - AI Enablement & Execution,Banking,Sydney CBD,Recent / verify before applying,2026-08-25,Direct employer,https://cba.wd3.myworkdayjobs.com/en-US/CommBank_Careers/job/Chapter-Lead---AI-Enablement---Execution_REQ261712,"Identify high-value AI use cases across change and delivery, assess maturity and barriers, define role skills, coach and train teams, embed responsible AI into everyday delivery and measure outcomes.",CommBank Change & Delivery AI Enablement System,"A system specifically for Change & Delivery that turns planning, reporting, communications, insights and stakeholder work into governed AI-enabled practices and capability paths.",commonwealth-bank-chapter-lead-ai-enablement-execution,A,Yes
Insignia Financial,Head of AI Adoption & Transformation,Financial Services / Superannuation,Australia multi-city,Live / recent,2026-08-25,Direct employer,https://careers.insigniafinancial.com.au/job/SYDNEY-Head-of-AI-Adoption-%26-Transformation-NSW-2000/1365289566/,"Define enterprise AI transformation, redesign how humans and AI work together, build literacy and learning, evolve roles and workforce readiness, and track adoption and behavioural change.",Insignia Human + AI Workforce Operating System,"A future-work system: map human roles, identify AI-capable work, design new operating models and maintain a registry of digital workers with human supervisors and measurable outcomes.",insignia-financial-head-of-ai-adoption-transformation,A,Yes
Bellroy,AI Enablement Lead,Retail / Product / Creative,Collingwood VIC,Live,2026-08-25,Direct employer,https://job-boards.greenhouse.io/bellroy/jobs/8104479,"Close the gap between access to AI and effective use across Creative, Marketing, Technology, Finance and Support; build workflows, workshops and guidelines; track tools, usage and return.",Bellroy AI Effectiveness System,"A cross-functional AI workbench that can sit with any team, diagnose the task, decide whether AI is even the right tool, build reusable workflows and show licence cost versus real value.",bellroy-ai-enablement-lead,A,Yes
